SALES_ID,SALES_DLRNR,SALES_DATE,SALES_CAR_ID,SALES_PRICE
279,5,2020-09-01,579,23717
280,4,2020-10-01,580,39495
281,3,2020-11-01,581,24307
282,10,2020-12-01,582,30274
283,6,2021-01-01,583,49896
284,2,2021-02-01,584,58918
285,5,2021-03-01,585,35116
286,9,2021-04-01,586,30333
287,9,2021-05-01,587,49647
288,1,2021-06-01,588,48413
289,9,2021-07-01,589,28449
290,10,2021-08-01,590,56468
291,3,2021-09-01,591,27714
292,6,2021-10-01,592,34466
293,6,2021-11-01,593,53753
294,10,2021-12-01,594,20612
295,8,2022-01-01,595,54569
296,3,2022-02-01,596,57051
297,9,2022-03-01,597,31303
298,1,2022-04-01,598,49870
299,3,2022-05-01,599,20007
300,4,2022-06-01,600,25626
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
